2024-01-17 21:36:14,476 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:37:45,323 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:46,628 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:48,194 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:50,043 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:52,179 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:53,579 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:54,798 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:56,096 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:56,625 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:37:56,625 - INFO - ('현재가: ', 42539.0, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.91, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -95.11)
2024-01-17 21:37:57,282 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:58,260 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:59,307 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:00,663 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:01,743 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:02,671 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:03,585 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:04,502 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:05,458 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:06,381 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:07,326 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:08,278 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:09,241 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:10,298 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:11,283 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:12,257 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:12,946 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:38:12,946 - INFO - ('현재가: ', 42600.0, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43129.3, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -96.8)
2024-01-17 21:38:13,204 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:14,129 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:15,026 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:15,945 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:16,932 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:17,980 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:18,925 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:19,846 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:20,888 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:21,907 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:22,848 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:23,814 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:38:24,958 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:38:25,908 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:38:26,909 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:38:27,970 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
